source,target,normalized_weight
1,8,9.63E-06
1,16,9.63E-06
1,22,2.96E-05
1,4,2.06E-06
1,21,0.000637785
1,7,3.44E-05
1,10,0.000251124
1,14,4.06E-05
1,15,0.000251124
1,3,0.000711402
1,24,0.000961837
1,18,0.000147922
1,20,0.000128658
1,13,0.00102995
1,19,0.001777129
1,6,0.001229473
1,2,0.000419686
1,23,8.88E-05
1,9,0.000890284
1,12,0.003239149
1,5,0.000465783
1,17,5.50E-06
1,11,0.000210531
2,8,5.16E-05
2,16,0.000262132
2,22,0.000285524
2,21,0.005616911
2,7,0.000388037
2,10,0.001325107
2,14,0.000396294
2,15,0.005025222
2,3,0.010206623
2,24,0.000941885
2,18,0.00055316
2,20,0.000870332
2,13,0.026102398
2,19,0.009637639
2,6,0.016164787
2,4,2.06E-06
2,23,5.16E-05
2,9,0.004714242
2,12,0.017679784
2,5,0.004922021
2,17,5.50E-06
2,11,0.002985274
3,8,0.000118338
3,16,0.000282084
3,22,0.001125584
3,4,2.55E-05
3,21,0.018051997
3,7,0.001217777
3,10,0.005138744
3,14,0.002555956
3,15,0.008061409
3,24,0.000798091
3,18,0.000966654
3,20,4.33E-05
3,13,0.019329631
3,19,0.016509479
3,6,0.050561141
3,23,0.000295156
3,9,0.006653053
3,12,0.05423236
3,5,0.004167962
3,17,2.75E-06
3,11,0.001747544
4,8,6.88E-07
4,16,2.68E-05
4,22,4.13E-06
4,21,2.48E-05
4,10,6.88E-06
4,14,6.88E-06
4,15,1.31E-05
4,24,2.06E-06
4,18,6.19E-06
4,20,6.19E-06
4,19,2.06E-05
4,6,2.41E-05
4,23,1.38E-06
4,9,2.75E-06
4,12,1.93E-05
4,5,6.88E-06
4,11,4.13E-06
4,7,1.58E-05
4,13,4.82E-06
5,8,4.27E-05
5,16,0.00041487
5,22,3.58E-05
5,21,0.002522931
5,7,0.00030754
5,10,0.000882716
5,14,0.000372213
5,15,0.002260112
5,24,0.000870332
5,18,0.00045615
5,20,0.001323043
5,13,0.013475357
5,19,0.010703366
5,6,0.012907061
5,23,0.000661177
5,9,0.0042691
5,12,0.022947874
5,17,5.50E-06
5,11,0.003210941
6,8,0.000103201
6,16,0.00070177
6,22,0.001411796
6,21,0.02800268
6,7,0.001775065
6,10,0.003422848
6,14,0.001917483
6,15,0.016806012
6,24,0.001711768
6,18,0.001702824
6,20,0.002885512
6,13,0.034835992
6,19,0.048440695
6,23,0.000786395
6,9,0.011244142
6,12,0.065889308
6,17,3.44E-06
6,11,0.001529445
7,8,1.24E-05
7,16,1.10E-05
7,22,8.26E-06
7,21,0.000963214
7,10,0.00011421
7,14,0.000327493
7,15,0.00088478
7,24,2.00E-05
7,18,5.30E-05
7,20,6.67E-05
7,13,0.000519447
7,19,0.000516695
7,23,8.94E-06
7,9,0.000246995
7,12,0.002086733
7,17,4.82E-06
7,11,0.000208467
8,16,0.000152738
8,22,2.55E-05
8,21,0.000266948
8,10,8.26E-05
8,14,4.13E-06
8,15,3.37E-05
8,24,2.75E-05
8,18,5.78E-05
8,20,6.88E-06
8,13,0.000127282
8,19,0.000144482
8,23,5.50E-06
8,9,3.51E-05
8,12,0.000352261
8,17,2.06E-06
8,11,2.27E-05
9,16,2.41E-05
9,22,0.000157554
9,21,0.003645763
9,10,0.000865516
9,14,0.000512567
9,15,0.0011132
9,24,0.001309282
9,18,0.000653609
9,20,0.000447894
9,13,0.016951182
9,19,0.011032923
9,23,0.000732042
9,12,0.017970812
9,17,4.82E-06
9,11,0.001688376
10,16,7.98E-05
10,22,0.000346757
10,21,0.003700116
10,14,0.000157554
10,15,0.001038895
10,24,0.000319236
10,18,0.000214659
10,20,2.06E-05
10,13,0.002009676
10,19,0.003195805
10,23,0.000125906
10,12,0.006884912
10,17,6.88E-07
10,11,0.000312356
11,16,3.10E-05
11,22,6.19E-06
11,21,0.000780891
11,14,0.000177506
11,15,0.001028574
11,24,0.000321989
11,18,0.000194019
11,20,0.000615081
11,13,0.004122554
11,19,0.002511923
11,23,0.000185763
11,12,0.005228185
11,17,2.06E-06
12,16,0.008196259
12,22,0.001111824
12,21,0.023891823
12,14,0.003698052
12,15,0.013193961
12,24,0.00383703
12,18,0.003196493
12,20,0.004671585
12,13,0.047333687
12,19,0.109788451
12,23,0.002657093
12,17,3.23E-05
13,16,0.000320612
13,22,0.000390101
13,21,0.010889129
13,14,0.000564168
13,15,0.004657137
13,24,0.002056461
13,18,0.001117328
13,20,0.001387715
13,19,0.011385184
13,23,0.00042519
13,17,1.72E-05
14,16,5.50E-06
14,22,7.57E-06
14,21,0.001268002
14,15,0.000401798
14,24,4.20E-05
14,18,5.23E-05
14,20,3.44E-05
14,19,0.000887532
14,23,2.75E-05
14,17,7.57E-06
15,16,0.000208467
15,22,0.000306852
15,21,0.008889773
15,24,7.98E-05
15,18,0.000149986
15,20,6.67E-05
15,19,0.002506419
15,23,2.27E-05
15,17,4.13E-06
16,22,3.30E-05
16,21,0.00013829
16,24,6.88E-06
16,18,1.17E-05
16,20,5.50E-06
16,19,0.000132098
16,23,4.13E-06
16,17,1.38E-06
17,22,6.19E-06
17,21,8.94E-06
17,24,1.51E-05
17,18,1.31E-05
17,20,1.38E-06
17,19,1.17E-05
17,23,2.13E-05
18,22,9.63E-06
18,21,0.000597192
18,24,0.000778139
18,20,3.10E-05
18,19,0.001642279
18,23,0.000190579
19,22,3.58E-05
19,21,0.007524761
19,24,0.00098867
19,20,0.001537702
19,23,0.001360883
20,22,4.13E-06
20,21,5.57E-05
20,24,1.72E-05
20,23,7.02E-05
21,22,0.001737224
21,24,0.000562792
21,23,0.000138978
22,24,1.86E-05
22,23,4.13E-06
23,24,0.000692138
